"checks_date","production_report","product_name","processor_name","file_type_output",satellite,timeliness,"sensing_start","sensing_stop","creation_date","check_missing_input_start","check_missing_input_stop","check_missing_input_result","check_missing_input_outcome","check_missing_input_description","check_missing_input_with_margin_start","check_missing_input_with_margin_stop","check_missing_input_with_margin_result","check_missing_input_with_margin_outcome","check_missing_input_with_margin_description","check_unexpected_fragmentation_start","check_unexpected_fragmentation_stop","check_unexpected_fragmentation_result","check_unexpected_fragmentation_outcome","check_unexpected_fragmentation_description","check_detection_duplicated_products_start","check_detection_duplicated_products_stop","check_detection_duplicated_products_result","check_detection_duplicated_products_outcome","check_detection_duplicated_products_description","check_adf_expected_ranking_start","check_adf_expected_ranking_stop","check_adf_expected_ranking_result","check_adf_expected_ranking_outcome","check_adf_expected_ranking_description","check_degradation_flag_adf_start","check_degradation_flag_adf_stop","check_degradation_flag_adf_result","check_degradation_flag_adf_outcome","check_degradation_flag_adf_description","check_degradation_flag_navatt_start","check_degradation_flag_navatt_stop","check_degradation_flag_navatt_result","check_degradation_flag_navatt_outcome","check_degradation_flag_navatt_description","check_missing_ephemeris_start","check_missing_ephemeris_stop","check_missing_ephemeris_result","check_missing_ephemeris_outcome","check_missing_ephemeris_description","check_product_size_start","check_product_size_stop","check_product_size_result","check_product_size_outcome","check_product_size_description","check_gaps_detection_start","check_gaps_detection_stop","check_gaps_detection_result","check_gaps_detection_outcome","check_gaps_detection_description","check_product_package_format_start","check_product_package_format_stop","check_product_package_format_result","check_product_package_format_outcome","check_product_package_format_description","check_instrument_anomaly_detection_start","check_instrument_anomaly_detection_stop","check_instrument_anomaly_detection_result","check_instrument_anomaly_detection_outcome","check_instrument_anomaly_detection_description"
"2022-01-21 @ 13:28:37.862 CET","S3B_REP_PR_LN1_O_PM3_629161677_20210519T053638339","S3B_OL_1_ERR____20210519T030435_20210519T034900_20210519T053528_2665_052_289______LN1_O_NR_002.SEN3","PUG_OL_1_ERR","OL_1_ERR___",S3B,NRT,"2021-05-19 @ 05:04:33.049 CEST","2021-05-19 @ 05:49:00.246 CEST","2021-05-19 @ 07:35:28.000 CEST","2022-01-21 @ 13:28:37.887 CET","2022-01-21 @ 13:28:38.153 CET",2,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/Warning.png","The duration of the gap interval is greater than the tolerance. Intervals: [2021-05-19T03:35:39.059284,2021-05-19T03:37:39.272504]","2022-01-21 @ 13:28:38.175 CET","2022-01-21 @ 13:28:38.243 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:38.259 CET","2022-01-21 @ 13:28:38.293 CET",1,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","Expected product duration is 2666  with a tolerance of 2.0 seconds.Actual duration is 2667 seconds in the interval [2664:2668]","2022-01-21 @ 13:28:38.307 CET","2022-01-21 @ 13:28:38.342 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:38.361 CET","2022-01-21 @ 13:28:38.434 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:38.445 CET","2022-01-21 @ 13:28:38.480 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:38.497 CET","2022-01-21 @ 13:28:38.533 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:38.554 CET","2022-01-21 @ 13:28:38.588 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:38.595 CET","2022-01-21 @ 13:28:38.639 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:38.653 CET","2022-01-21 @ 13:28:38.709 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:38.730 CET","2022-01-21 @ 13:28:38.780 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:38.797 CET","2022-01-21 @ 13:28:38.878 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-"
"2022-01-21 @ 13:28:36.939 CET","S3A_REP_PR_LN3_O_PM4_633526685_20211026T121357358","S3A_SR_2_LAN____20211026T100422_20211026T100732_20211026T121355_0190_078_022______LN3_O_NR_004.SEN3","S3A_SM2","SR_2_LAN___",S3A,NRT,"2021-10-26 @ 12:04:21.041 CEST","2021-10-26 @ 12:13:26.264 CEST","2021-10-26 @ 14:13:55.000 CEST","2022-01-21 @ 13:28:36.949 CET","2022-01-21 @ 13:28:36.992 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:37.004 CET","2022-01-21 @ 13:28:37.081 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:37.111 CET","2022-01-21 @ 13:28:37.144 CET",2,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/Warning.png","The sensing of the product is not of the expected duration, not even considering the tolerance","2022-01-21 @ 13:28:37.156 CET","2022-01-21 @ 13:28:37.217 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:37.229 CET","2022-01-21 @ 13:28:37.339 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:37.354 CET","2022-01-21 @ 13:28:37.390 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:37.405 CET","2022-01-21 @ 13:28:37.445 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:37.462 CET","2022-01-21 @ 13:28:37.500 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:37.519 CET","2022-01-21 @ 13:28:37.585 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:37.599 CET","2022-01-21 @ 13:28:37.640 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:37.657 CET","2022-01-21 @ 13:28:37.694 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:37.703 CET","2022-01-21 @ 13:28:37.734 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-"
"2022-01-21 @ 13:28:35.237 CET","S3B_REP_PR_LN3_O_PM3_632664014_20211005T151744098","S3B_SR_1_SRA____20211005T132912_20211005T133912_20211005T151720_0599_057_352______LN3_O_NR_004.SEN3","S3B_SR1","SR_1_SRA___",S3B,NRT,"2021-10-05 @ 15:29:12.295 CEST","2021-10-05 @ 15:39:12.264 CEST","2021-10-05 @ 17:17:20.000 CEST","2022-01-21 @ 13:28:35.259 CET","2022-01-21 @ 13:28:35.375 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:35.381 CET","2022-01-21 @ 13:28:35.768 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:35.781 CET","2022-01-21 @ 13:28:35.905 CET",1,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","Expected product duration is 600  with a tolerance of 2.0 seconds.Actual duration is 599 seconds in the interval [598:602]","2022-01-21 @ 13:28:35.914 CET","2022-01-21 @ 13:28:36.017 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:36.037 CET","2022-01-21 @ 13:28:36.281 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:36.293 CET","2022-01-21 @ 13:28:36.375 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","Missing degradation flag","2022-01-21 @ 13:28:36.384 CET","2022-01-21 @ 13:28:36.449 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","Missing degradation flag","2022-01-21 @ 13:28:36.456 CET","2022-01-21 @ 13:28:36.476 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:36.486 CET","2022-01-21 @ 13:28:36.528 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:36.550 CET","2022-01-21 @ 13:28:36.615 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:36.626 CET","2022-01-21 @ 13:28:36.701 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:36.754 CET","2022-01-21 @ 13:28:36.795 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-"
"2022-01-21 @ 13:28:25.640 CET","S3A_REP_PR_LN3_O_PM1_653755445_20210726T225343430","S3A_SR_1_SRA_BS_20210701T074557_20210701T083626_20210726T224644_3029_073_277______LN3_O_NT_004.SEN3","S3A_SR1","SR_1_SRA_BS",S3A,NTC,"2021-07-01 @ 09:45:56.777 CEST","2021-07-01 @ 10:36:26.406 CEST","2021-07-27 @ 00:46:44.000 CEST","2022-01-21 @ 13:28:32.970 CET","2022-01-21 @ 13:28:33.077 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:33.100 CET","2022-01-21 @ 13:28:33.204 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:33.221 CET","2022-01-21 @ 13:28:33.244 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:33.254 CET","2022-01-21 @ 13:28:33.280 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:33.292 CET","2022-01-21 @ 13:28:33.379 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:33.387 CET","2022-01-21 @ 13:28:33.462 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:33.474 CET","2022-01-21 @ 13:28:33.503 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:33.582 CET","2022-01-21 @ 13:28:33.600 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:33.612 CET","2022-01-21 @ 13:28:33.715 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:33.841 CET","2022-01-21 @ 13:28:33.877 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:33.966 CET","2022-01-21 @ 13:28:33.987 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:34.005 CET","2022-01-21 @ 13:28:34.214 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-"
"2022-01-21 @ 13:28:25.633 CET","S3A_REP_PR_LN3_O_PM1_653755445_20210726T225343430","S3A_SR_1_SRA_A__20210701T074557_20210701T083626_20210726T224644_3029_073_277______LN3_O_NT_004.SEN3","S3A_SR1","SR_1_SRA_A_",S3A,NTC,"2021-07-01 @ 09:45:56.777 CEST","2021-07-01 @ 10:36:26.406 CEST","2021-07-27 @ 00:46:44.000 CEST","2022-01-21 @ 13:28:31.948 CET","2022-01-21 @ 13:28:32.000 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:32.008 CET","2022-01-21 @ 13:28:32.056 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:32.074 CET","2022-01-21 @ 13:28:32.097 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:32.112 CET","2022-01-21 @ 13:28:32.141 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:32.172 CET","2022-01-21 @ 13:28:32.227 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:32.297 CET","2022-01-21 @ 13:28:32.334 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:32.343 CET","2022-01-21 @ 13:28:32.369 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:32.423 CET","2022-01-21 @ 13:28:32.448 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:32.468 CET","2022-01-21 @ 13:28:32.579 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:32.588 CET","2022-01-21 @ 13:28:32.711 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:32.820 CET","2022-01-21 @ 13:28:32.842 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:32.850 CET","2022-01-21 @ 13:28:32.953 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-"
"2022-01-21 @ 13:28:25.625 CET","S3A_REP_PR_LN3_O_PM1_653755445_20210726T225343430","S3A_SR_1_SRA____20210701T074557_20210701T083626_20210726T224644_3029_073_277______LN3_O_NT_004.SEN3","S3A_SR1","SR_1_SRA___",S3A,NTC,"2021-07-01 @ 09:45:56.777 CEST","2021-07-01 @ 10:36:26.406 CEST","2021-07-27 @ 00:46:44.000 CEST","2022-01-21 @ 13:28:30.622 CET","2022-01-21 @ 13:28:30.686 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:30.776 CET","2022-01-21 @ 13:28:30.897 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:30.914 CET","2022-01-21 @ 13:28:31.024 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:31.041 CET","2022-01-21 @ 13:28:31.075 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:31.148 CET","2022-01-21 @ 13:28:31.300 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:31.312 CET","2022-01-21 @ 13:28:31.421 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:31.430 CET","2022-01-21 @ 13:28:31.534 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:31.549 CET","2022-01-21 @ 13:28:31.574 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:31.666 CET","2022-01-21 @ 13:28:31.698 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:31.787 CET","2022-01-21 @ 13:28:31.807 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:31.815 CET","2022-01-21 @ 13:28:31.837 CET","-1","/plugins/indexPatternManagement/assets/icons/icons_stoplight/Failure.png","Manifest not found","2022-01-21 @ 13:28:31.846 CET","2022-01-21 @ 13:28:31.921 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-"
"2022-01-21 @ 13:28:18.991 CET","S3A_REP_PR_LN1_O_PM4_635812154_20211005T142836250","S3A_OL_2_LRR____20211005T125257_20211005T125457_20211005T142732_0119_077_109______LN1_O_NR_002.SEN3","S3A_OL1_OL2","OL_2_LRR___",S3A,NRT,"2021-10-05 @ 14:52:57.095 CEST","2021-10-05 @ 14:54:57.130 CEST","2021-10-05 @ 16:27:32.000 CEST","2022-01-21 @ 13:28:24.765 CET","2022-01-21 @ 13:28:24.803 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.815 CET","2022-01-21 @ 13:28:24.905 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:24.913 CET","2022-01-21 @ 13:28:24.929 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.936 CET","2022-01-21 @ 13:28:24.966 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.983 CET","2022-01-21 @ 13:28:25.064 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:25.077 CET","2022-01-21 @ 13:28:25.100 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:25.110 CET","2022-01-21 @ 13:28:25.142 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:25.152 CET","2022-01-21 @ 13:28:25.168 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:25.175 CET","2022-01-21 @ 13:28:25.193 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:25.204 CET","2022-01-21 @ 13:28:25.234 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:25.242 CET","2022-01-21 @ 13:28:25.265 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:25.272 CET","2022-01-21 @ 13:28:25.302 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-"
"2022-01-21 @ 13:28:18.942 CET","S3A_REP_PR_LN1_O_PM4_635812154_20211005T142836250","S3A_OL_2_LFR____20211005T125257_20211005T125457_20211005T142453_0119_077_109______LN1_O_NR_002.SEN3","S3A_OL1_OL2","OL_2_LFR___",S3A,NRT,"2021-10-05 @ 14:52:57.095 CEST","2021-10-05 @ 14:54:57.130 CEST","2021-10-05 @ 16:24:53.000 CEST","2022-01-21 @ 13:28:24.037 CET","2022-01-21 @ 13:28:24.082 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.090 CET","2022-01-21 @ 13:28:24.226 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:24.238 CET","2022-01-21 @ 13:28:24.266 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.277 CET","2022-01-21 @ 13:28:24.299 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.341 CET","2022-01-21 @ 13:28:24.471 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:24.484 CET","2022-01-21 @ 13:28:24.515 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.528 CET","2022-01-21 @ 13:28:24.556 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.567 CET","2022-01-21 @ 13:28:24.602 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.619 CET","2022-01-21 @ 13:28:24.640 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.649 CET","2022-01-21 @ 13:28:24.672 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.683 CET","2022-01-21 @ 13:28:24.698 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:24.715 CET","2022-01-21 @ 13:28:24.751 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-"
"2022-01-21 @ 13:28:18.935 CET","S3A_REP_PR_LN1_O_PM4_635812154_20211005T142836250","S3A_OL_1_ERR____20211005T125257_20211005T125457_20211005T141539_0119_077_109______LN1_O_NR_002.SEN3","S3A_OL1_OL2","OL_1_ERR___",S3A,NRT,"2021-10-05 @ 14:52:57.095 CEST","2021-10-05 @ 14:54:57.130 CEST","2021-10-05 @ 16:15:39.000 CEST","2022-01-21 @ 13:28:23.514 CET","2022-01-21 @ 13:28:23.557 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.564 CET","2022-01-21 @ 13:28:23.656 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:23.673 CET","2022-01-21 @ 13:28:23.693 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.702 CET","2022-01-21 @ 13:28:23.730 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.740 CET","2022-01-21 @ 13:28:23.791 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:23.801 CET","2022-01-21 @ 13:28:23.822 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.829 CET","2022-01-21 @ 13:28:23.841 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.848 CET","2022-01-21 @ 13:28:23.863 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.877 CET","2022-01-21 @ 13:28:23.900 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.920 CET","2022-01-21 @ 13:28:23.946 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.953 CET","2022-01-21 @ 13:28:23.978 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.986 CET","2022-01-21 @ 13:28:24.013 CET",2,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/Warning.png","Camera 1/5 Systematic_Corrupted_ISPs_Detected"
"2022-01-21 @ 13:28:18.925 CET","S3A_REP_PR_LN1_O_PM4_635812154_20211005T142836250","S3A_OL_1_EFR____20211005T125257_20211005T125457_20211005T141536_0119_077_109______LN1_O_NR_002.SEN3","S3A_OL1_OL2","OL_1_EFR___",S3A,NRT,"2021-10-05 @ 14:52:57.095 CEST","2021-10-05 @ 14:54:57.130 CEST","2021-10-05 @ 16:15:36.000 CEST","2022-01-21 @ 13:28:22.946 CET","2022-01-21 @ 13:28:23.011 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.024 CET","2022-01-21 @ 13:28:23.120 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:23.127 CET","2022-01-21 @ 13:28:23.158 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.171 CET","2022-01-21 @ 13:28:23.191 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.199 CET","2022-01-21 @ 13:28:23.273 CET",0,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/OK.png","-","2022-01-21 @ 13:28:23.289 CET","2022-01-21 @ 13:28:23.313 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.319 CET","2022-01-21 @ 13:28:23.337 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.346 CET","2022-01-21 @ 13:28:23.359 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.365 CET","2022-01-21 @ 13:28:23.381 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.396 CET","2022-01-21 @ 13:28:23.412 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.418 CET","2022-01-21 @ 13:28:23.432 CET","-","/plugins/indexPatternManagement/assets/icons/icons_stoplight/NotApplicable.png","-","2022-01-21 @ 13:28:23.441 CET","2022-01-21 @ 13:28:23.491 CET",2,"/plugins/indexPatternManagement/assets/icons/icons_stoplight/Warning.png","Camera 1/5 Systematic_Corrupted_ISPs_Detected"
